Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type
90023,2009,10/16/2009,Glastonbury,89 DRUMLIN RD,610300.0,785000.0,0.777452229,Single Family,Single Family
80160,2008,08/12/2009,Bethel,36 PUTNAM PARK ROAD,360440.0,399900.0,0.901325331,Single Family,Single Family
20513,2020,09/23/2021,Bethel,83 A NASHVILLE ROAD,190890.0,380000.0,0.5023,Residential,Single Family
40626,2004,09/07/2005,Southbury,28 G HERITAGE VLG,180280.0,350000.0,0.515085714,,
40365,2004,04/28/2005,Newington,602 CYPRESS LN,64680.0,182000.0,0.355384615,,
11697,2001,08/22/2002,Norwalk,1 HORIZON DR,91140.0,209000.0,0.436076555,,
10801,2001,08/15/2002,Norwich,9 ZEPHER ST,61700.0,151000.0,0.408609272,,
20029,2002,11/15/2002,Thompson,270 COUNTY HOME RD,137500.0,340000.0,0.404411765,,
170647,2017,08/15/2018,Wallingford,13 JONATHAN RD,181200.0,243000.0,0.7456,Single Family,Single Family
18072,2018,02/06/2019,Colchester,44 UDE WAY,238400.0,375000.0,0.6357,Single Family,Single Family
800827,2008,09/23/2009,West Haven,373 JONES HILL RD,142730.0,167000.0,0.854670659,Single Family,Single Family
10694,2010,09/23/2011,New Haven,104 HUNTINGTON STREET,669830.0,574900.0,1.165124369,Single Family,Single Family
10119,2001,11/29/2001,Farmington,2B TALCOTT GLEN RD,70530.0,130000.0,0.542538462,,
60115,2006,03/09/2007,Bethel,32 IDLEWOOD,135310.0,266500.0,0.507729831,Condo,Condo
32733,2003,09/24/2004,Waterbury,132 GREENLEAF AVE,72380.0,80000.0,0.90475,,
141566,2014,08/25/2015,Stamford,0 TURN OF RIVER ROAD LOT A,101520.0,350000.0,0.290057143,,
15085,2015,04/25/2016,Burlington,164 PRINCETON DRIVE,276430.0,193726.0,1.426912237,Single Family,Single Family
160671,2016,09/06/2017,Torrington,300 GREENWOODS RD,85060.0,84000.0,1.012619048,Single Family,Single Family
140058,2014,11/21/2014,Cheshire,635 MAPLE AVENUE,185720.0,249000.0,0.745863454,Single Family,Single Family
30915,2003,06/25/2004,Stratford,3164 BROADBRIDGE AVE,108660.0,270000.0,0.402444444,,
40973,2004,12/30/2004,Bridgeport,9 COTTAGE ST,54736.0,120000.0,0.456133333,,
60015,2006,12/15/2006,Deep River,19 UNION ST,260120.0,349000.0,0.745329513,Single Family,Single Family
120496,2012,08/08/2013,Westport,5 RIVER LN,1157600.0,1420000.0,0.815211268,Single Family,Single Family
200161,2020,11/30/2020,Branford,33 SUNRISE COVE CAMP,270600.0,132083.0,2.0487,Residential,Single Family
210146,2021,12/16/2021,Newington,118-120 EIGHTH ST,132120.0,240000.0,0.5505,Residential,Two Family
170984,2017,09/10/2018,Hamden,2 CONIFER DR,273490.0,300000.0,0.9116,Single Family,Single Family
41183,2004,08/01/2005,Fairfield,71 NEW ENGLAND AVE,163730.0,435000.0,0.376390805,,
17409,2017,02/14/2018,Newington,50 HARVEST COURT,55140.0,317002.0,0.1739,Condo,Condo
150492,2015,05/02/2016,Manchester,9 SAULTERS ROAD,105700.0,145500.0,0.726460481,Single Family,Single Family
52391,2005,07/31/2006,Waterbury,249 RAYMOND ST,87360.0,170000.0,0.513882353,,
800047,2008,06/24/2009,Durham,490 MAIN ST,135660.0,215000.0,0.630976744,Single Family,Single Family
130474,2013,06/03/2014,Southington,37 VILLAGE RD,72590.0,86500.0,0.839190751,Condo,Condo
40393,2004,04/01/2005,Glastonbury,80 COPLEY RD,158000.0,300000.0,0.526666667,,
170779,2017,08/27/2018,Southington,451 JUDE LN,141090.0,278400.0,0.506788793,Single Family,Single Family
150005,2015,10/13/2015,Easton,23 NEWMAN DRIVE,313200.0,510000.0,0.614117647,Single Family,Single Family
60789,2006,03/20/2007,Norwalk,14 WOODLAWN AVE,278740.0,530000.0,0.525924528,Single Family,Single Family
210144,2021,11/02/2021,Bristol,168 MERCIER AVE,99820.0,195000.0,0.5118,Residential,Single Family
40148,2004,11/09/2004,Norwich,69 CLIFF ST,30000.0,59000.0,0.508474576,,
14240,2014,06/16/2015,Newtown,23 BEECHWOOD DRIVE,133960.0,298750.0,0.448401674,Single Family,Single Family
100058,2010,11/04/2010,Bristol,269 WASHINGTON ST,127540.0,63000.0,2.024444444,Two Family,Two Family
40138,2004,12/23/2004,Cheshire,19 PROMONTORY,108150.0,185000.0,0.584594595,,
170757,2017,06/27/2018,West Hartford,60 CASSANDRA BLVD UNIT 206,210070.0,360000.0,0.5835,Condo,Condo
800204,2008,03/23/2009,West Haven,156 PLATT AVE,160370.0,190000.0,0.844052632,Single Family,Single Family
20364,2002,12/24/2002,Meriden,67 LEWIS AVE,79730.0,25000.0,3.1892,,
50667,2005,04/26/2006,West Hartford,105 WESTPHAL ST,73400.0,209000.0,0.351196172,,
81066,2008,09/25/2009,Stamford,"631 LONG RIDGE ROAD, UNIT 7",1282310.0,1200000.0,1.068591667,Condo,Condo
10057,2001,12/05/2001,Stafford,44 TOLLAND AVE UT 56,46340.0,92000.0,0.503695652,,
10830,2001,01/23/2002,Bridgeport,114 LUTHER ST,77910.0,114000.0,0.683421053,,
150260,2015,05/27/2016,Simsbury,67 HILDURCREST DRIVE,178920.0,369000.0,0.484878049,Single Family,Single Family
170081,2017,01/16/2018,Bloomfield,226 CASTLEWOOD DR,121240.0,195000.0,0.62174359,Condo,Condo
150087,2015,11/06/2015,New Haven,61 GREEN HILL TERRACE,89670.0,68750.0,1.304290909,Single Family,Single Family
30042,2003,10/26/2003,Bloomfield,64 LINCOLN TER,61730.0,133000.0,0.464135338,,
140039,2014,01/26/2015,Hebron,113 JOEL DR,351120.0,342900.0,1.023972003,Single Family,Single Family
21858,2002,05/06/2003,Bridgeport,125 HOUSTON AVE,82530.0,173900.0,0.474583094,,
200209,2020,11/10/2020,Greenwich,327 VALLEY ROAD,695730.0,890000.0,0.7817,Residential,Single Family
210767,2021,07/11/2022,Torrington,655 NEW LITCHFIELD ST,94100.0,185600.0,0.507,Residential,Single Family
180287,2018,04/12/2019,Trumbull,43 HICKORY ST,193830.0,275000.0,0.7048,Single Family,Single Family
70179,2007,02/29/2008,New Milford,87 UPPER RESERVOIR RD,216160.0,315000.0,0.686222222,Single Family,Single Family
150237,2015,03/31/2016,Windsor,368 PALISADO AVE,184100.0,135000.0,1.363703704,Single Family,Single Family
60081,2006,11/02/2006,Naugatuck,235 MULBERRY ST,132600.0,385000.0,0.344415584,Single Family,Single Family
170102,2017,08/27/2018,Salisbury,166 MAIN ST,847700.0,1050000.0,0.8073,Single Family,Single Family
17093,2017,07/03/2018,New Hartford,425 SOUTH ROAD,167930.0,322000.0,0.5215,Single Family,Single Family
11173,2001,09/17/2002,Manchester,399 10 ADAMS ST,72200.0,123500.0,0.584615385,,
16119,2016,12/29/2016,Newington,15 1B WOODSEDGE,69410.0,7500.0,9.254666667,Condo,Condo
60178,2006,04/02/2007,Darien,68 STONY BRK RD,821870.0,1750000.0,0.46964,Single Family,Single Family
1800006,2018,10/01/2018,Stamford,132 PROSPECT STREET,4046910.0,1000000.0,4.0469,,
21435,2002,03/18/2003,Bridgeport,745 UNION AVE,47180.0,88000.0,0.536136364,,
