Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Sale Year,Sale Month,Sale Amount_Log,Sale Amount_Scaled,Is_Undervalued,Property Type_Commercial,Property Type_Condo,Property Type_Four Family,Property Type_Industrial,Property Type_Residential,Property Type_Single Family,Property Type_Three Family,Property Type_Two Family,Property Type_Unspecified,Property Type_Vacant Land,Residential Type_Four Family,Residential Type_Non-Residential,Residential Type_Single Family,Residential Type_Three Family,Residential Type_Two Family
30195,2003,2004-03-09,Windham,39 PEARL ST,93040.0,108000.0,0.861481481,2004,3,11.58989576532275,-0.8283142044469243,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
160212,2016,2016-12-12,Danbury,55 MILL PLAIN RD #27-2,102300.0,141900.0,0.720930233,2016,12,11.862884910339652,-0.5306858445723432,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15026,2015,2015-10-15,Newington,740 CYPRESS ROAD,92280.0,144500.0,0.638615917,2015,10,11.881041706925902,-0.5108902677621094,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201125,2020,2021-07-20,West Hartford,45 BRIGHTVIEW DRIVE,181580.0,390000.0,0.4655,2021,7,12.873904582205105,0.5715855542395795,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
31402,2003,2004-09-01,West Hartford,188 MOUNTAIN RD,178930.0,393500.0,0.454714104,2004,9,12.882838888132426,0.5813262449164985,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2100016,2021,2021-10-04,Naugatuck,35 COUNSELOR DRIVE,164260.0,300000.0,0.5475,2021,10,12.611541086966115,0.28554188472258024,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
201082,2020,2021-09-22,Torrington,501-504 ESSEX CT,290540.0,480000.0,0.6052,2021,9,13.081543466215237,0.7979653265572574,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20165,2002,2003-01-31,New London,85 NEPTUNE AVE,78120.0,170000.0,0.459529412,2003,1,12.043559598368038,-0.3337039789915318,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
160075,2016,2016-10-25,Waterbury,925 ORONOKE RD #25H,68760.0,90000.0,0.764,2016,10,11.407576060361786,-1.0270895614560442,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17256,2017,2018-09-28,Colchester,15 VICKI LN,116700.0,179900.0,0.6486,2018,9,12.100161978566867,-0.27199283079722625,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
